# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.727688	0.529529	0.035156	0.001236	32
-0.733605	0.538176	0.074219	0.005508	60
-0.736983	0.543144	0.062500	0.003906	47
-0.731484	0.535070	0.003906	0.000015	41
-0.737980	0.544615	0.011719	0.000137	36
-0.736611	0.542596	0.031250	0.000977	33
-0.752580	0.566377	0.011719	0.000137	39
-0.744506	0.554289	0.070312	0.004944	49
-0.740038	0.547657	0.019531	0.000381	54
-0.744506	0.554290	0.074219	0.005508	38
-0.742758	0.551689	0.062500	0.003906	43
-0.754484	0.569246	0.050781	0.002579	40
-0.730000	0.532900	0.019531	0.000381	47
-0.735079	0.540341	0.015625	0.000244	48
-0.727762	0.529638	0.023438	0.000549	55
-0.737694	0.544193	0.027344	0.000748	49
-0.742373	0.551117	0.027344	0.000748	48
-0.740050	0.547674	0.000000	0.000000	53
-0.749776	0.562165	0.015625	0.000244	32
-0.732543	0.536619	0.019531	0.000381	35
-0.746513	0.557282	0.035156	0.001236	46
-0.724843	0.525397	0.003906	0.000015	33
-0.753918	0.568392	0.023438	0.000549	41
-0.743677	0.553055	0.027344	0.000748	40
-0.742292	0.550998	0.078125	0.006104	28
-0.728672	0.530963	0.093750	0.008789	71
-0.729300	0.531878	0.035156	0.001236	40
-0.727795	0.529685	0.121094	0.014664	40
-0.735918	0.541576	0.011719	0.000137	31
-0.733241	0.537642	0.031250	0.000977	41
-0.749737	0.562106	0.101562	0.010315	33
-0.744968	0.554978	0.035156	0.001236	32
-0.726803	0.528242	0.062500	0.003906	36
-0.752675	0.566520	0.003906	0.000015	82
-0.739507	0.546870	0.011719	0.000137	32
-0.732278	0.536232	0.019531	0.000381	36
-0.731761	0.535474	0.019531	0.000381	58
-0.736892	0.543010	0.015625	0.000244	40
-0.741915	0.550437	0.011719	0.000137	57
-0.732010	0.535839	0.089844	0.008072	45
-0.744732	0.554626	0.046875	0.002197	35
-0.748341	0.560014	0.027344	0.000748	33
-0.743440	0.552703	0.035156	0.001236	30
-0.727720	0.529576	0.054688	0.002991	28
-0.735651	0.541183	0.011719	0.000137	64
-0.720325	0.518869	0.011719	0.000137	50
-0.747071	0.558115	0.050781	0.002579	36
-0.726778	0.528206	0.011719	0.000137	42
-0.766898	0.588133	0.011719	0.000137	36
-0.741855	0.550349	0.035156	0.001236	33
-0.750429	0.563144	0.007812	0.000061	55
-0.731434	0.534996	0.023438	0.000549	27
-0.731230	0.534698	0.023438	0.000549	47
-0.743465	0.552740	0.046875	0.002197	48
-0.740480	0.548311	0.058594	0.003433	41
-0.739416	0.546736	0.019531	0.000381	46
-0.746533	0.557311	0.011719	0.000137	46
-0.742108	0.550724	0.078125	0.006104	36
-0.729814	0.532629	0.007812	0.000061	54
-0.743133	0.552246	0.066406	0.004410	43
-0.734813	0.539950	0.046875	0.002197	65
-0.761089	0.579256	0.011719	0.000137	46
-0.747612	0.558924	0.074219	0.005508	65
-0.755737	0.571138	0.003906	0.000015	39
-0.739138	0.546325	0.039062	0.001526	47
-0.733551	0.538097	0.011719	0.000137	61
-0.742412	0.551175	0.023438	0.000549	58
-0.761153	0.579354	0.011719	0.000137	34
-0.754726	0.569612	0.007812	0.000061	39
-0.743324	0.552530	0.031250	0.000977	29
-0.738136	0.544844	0.007812	0.000061	34
-0.738220	0.544969	0.011719	0.000137	30
-0.741067	0.549181	0.011719	0.000137	28
-0.731940	0.535736	0.074219	0.005508	48
-0.737472	0.543865	0.000000	0.000000	36
-0.736941	0.543082	0.015625	0.000244	35
-0.745973	0.556475	0.101562	0.010315	26
-0.754721	0.569604	0.000000	0.000000	34
-0.752642	0.566470	0.011719	0.000137	29
-0.727892	0.529826	0.003906	0.000015	38
-0.731714	0.535405	0.011719	0.000137	37
-0.723682	0.523715	0.031250	0.000977	39
-0.724263	0.524556	0.015625	0.000244	51
-0.729235	0.531783	0.019531	0.000381	48
-0.742541	0.551367	0.039062	0.001526	48
-0.746802	0.557713	0.023438	0.000549	33
-0.737561	0.543996	0.007812	0.000061	43
-0.754437	0.569175	0.031250	0.000977	59
-0.755953	0.571465	0.019531	0.000381	29
-0.740647	0.548557	0.015625	0.000244	35
-0.729949	0.532826	0.082031	0.006729	54
-0.725093	0.525760	0.039062	0.001526	40
-0.736725	0.542764	0.019531	0.000381	41
-0.734986	0.540205	0.054688	0.002991	40
-0.733666	0.538266	0.046875	0.002197	26
-0.736879	0.542991	0.023438	0.000549	33
-0.740780	0.548755	0.085938	0.007385	39
-0.733535	0.538074	0.023438	0.000549	35
-0.736533	0.542481	0.046875	0.002197	29
-0.754381	0.569091	0.000000	0.000000	37
-0.739480	0.546831	0.015625	0.000244	30
-0.736388	0.542267	0.039062	0.001526	24
-0.754145	0.568734	0.023438	0.000549	35
-0.750162	0.562744	0.023438	0.000549	40
-0.743685	0.553067	0.023438	0.000549	43
-0.731731	0.535430	0.035156	0.001236	47
-0.744017	0.553562	0.023438	0.000549	29
-0.731118	0.534534	0.015625	0.000244	79
-0.742599	0.551453	0.031250	0.000977	35
-0.748162	0.559746	0.035156	0.001236	36
-0.743331	0.552542	0.046875	0.002197	51
-0.738629	0.545573	0.031250	0.000977	19
-0.741270	0.549481	0.027344	0.000748	44
-0.724155	0.524400	0.050781	0.002579	40
-0.736229	0.542033	0.003906	0.000015	28
-0.743000	0.552049	0.042969	0.001846	48
-0.734075	0.538866	0.062500	0.003906	35
-0.730395	0.533477	0.003906	0.000015	26
-0.732195	0.536110	0.003906	0.000015	29
-0.752775	0.566670	0.050781	0.002579	28
-0.746655	0.557493	0.011719	0.000137	41
-0.736520	0.542462	0.035156	0.001236	74
-0.744015	0.553558	0.007812	0.000061	32
-0.745570	0.555875	0.089844	0.008072	37
-0.729511	0.532187	0.031250	0.000977	53
-0.747625	0.558944	0.082031	0.006729	45
-0.732482	0.536530	0.093750	0.008789	31
-0.743993	0.553526	0.015625	0.000244	41
-0.752323	0.565990	0.046875	0.002197	37
-0.726057	0.527159	0.023438	0.000549	51
-0.736801	0.542875	0.027344	0.000748	64
-0.729350	0.531951	0.027344	0.000748	49
-0.732256	0.536199	0.105469	0.011124	39
-0.740937	0.548988	0.011719	0.000137	33
-0.749642	0.561964	0.007812	0.000061	36
-0.737750	0.544276	0.003906	0.000015	33
-0.738715	0.545700	0.035156	0.001236	53
-0.746594	0.557402	0.042969	0.001846	79
-0.731907	0.535687	0.027344	0.000748	39
-0.743006	0.552058	0.082031	0.006729	39
-0.756823	0.572781	0.054688	0.002991	34
-0.749916	0.562374	0.031250	0.000977	33
-0.739560	0.546949	0.000000	0.000000	45
-0.743036	0.552103	0.042969	0.001846	37
-0.740149	0.547820	0.023438	0.000549	33
-0.740548	0.548411	0.058594	0.003433	44
-0.748779	0.560670	0.007812	0.000061	33
-0.731070	0.534464	0.007812	0.000061	35
-0.747043	0.558074	0.027344	0.000748	41
-0.732936	0.537195	0.015625	0.000244	58
-0.752140	0.565714	0.054688	0.002991	29
-0.735523	0.540994	0.023438	0.000549	53
-0.731049	0.534432	0.031250	0.000977	40
-0.746086	0.556645	0.003906	0.000015	50
-0.740950	0.549007	0.023438	0.000549	43
-0.732829	0.537038	0.019531	0.000381	30
-0.741128	0.549271	0.039062	0.001526	41
-0.739925	0.547488	0.078125	0.006104	60
-0.747868	0.559306	0.062500	0.003906	33
-0.748648	0.560474	0.042969	0.001846	32
-0.741242	0.549440	0.039062	0.001526	46
-0.745051	0.555101	0.082031	0.006729	40
-0.714966	0.511176	0.101562	0.010315	66
-0.741143	0.549294	0.050781	0.002579	40
-0.747362	0.558550	0.035156	0.001236	36
-0.752866	0.566808	0.050781	0.002579	57
-0.734197	0.539046	0.062500	0.003906	53
-0.741395	0.549667	0.015625	0.000244	47
-0.739428	0.546754	0.003906	0.000015	49
-0.733060	0.537377	0.015625	0.000244	45
-0.756800	0.572746	0.007812	0.000061	44
-0.732062	0.535915	0.023438	0.000549	39
-0.739295	0.546556	0.011719	0.000137	37
-0.734386	0.539323	0.039062	0.001526	57
-0.740907	0.548943	0.031250	0.000977	65
-0.729744	0.532527	0.031250	0.000977	45
-0.725094	0.525761	0.128906	0.016617	38
-0.726027	0.527115	0.066406	0.004410	45
-0.750853	0.563781	0.078125	0.006104	28
-0.746483	0.557237	0.023438	0.000549	33
-0.731141	0.534567	0.011719	0.000137	43
-0.737966	0.544595	0.003906	0.000015	31
-0.726148	0.527291	0.031250	0.000977	39
-0.745517	0.555796	0.023438	0.000549	33
-0.744326	0.554022	0.093750	0.008789	36
-0.738573	0.545491	0.054688	0.002991	57
-0.740429	0.548235	0.093750	0.008789	32
-0.736839	0.542932	0.050781	0.002579	41
-0.733340	0.537788	0.000000	0.000000	50
-0.737399	0.543758	0.003906	0.000015	49
-0.744224	0.553870	0.046875	0.002197	27
-0.727406	0.529120	0.035156	0.001236	33
-0.746785	0.557687	0.015625	0.000244	31
-0.729238	0.531788	0.007812	0.000061	30
-0.740170	0.547852	0.023438	0.000549	29
-0.730947	0.534283	0.003906	0.000015	51
-0.726220	0.527395	0.027344	0.000748	48
-0.746637	0.557467	0.003906	0.000015	30
-0.735904	0.541555	0.027344	0.000748	37
-0.753469	0.567716	0.105469	0.011124	33
-0.741489	0.549806	0.031250	0.000977	35
-0.735593	0.541097	0.027344	0.000748	36
-0.731662	0.535329	0.019531	0.000381	49
-0.741830	0.550312	0.011719	0.000137	37
-0.741913	0.550435	0.007812	0.000061	36
-0.740370	0.548148	0.042969	0.001846	50
-0.742850	0.551826	0.027344	0.000748	37
-0.728564	0.530806	0.011719	0.000137	36
-0.736536	0.542486	0.019531	0.000381	28
