# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.686055	0.470672	0.000000	0.000000	30
-0.742492	0.551295	0.031250	0.000977	36
-0.716250	0.513014	0.062500	0.003906	19
-0.697314	0.486247	0.046875	0.002197	21
-0.748539	0.560310	0.015625	0.000244	39
-0.743239	0.552404	0.015625	0.000244	34
-0.734820	0.539960	0.234375	0.054932	30
-0.732085	0.535948	0.125000	0.015625	23
-0.725210	0.525929	0.234375	0.054932	45
-0.698959	0.488544	0.093750	0.008789	24
-0.717612	0.514967	0.046875	0.002197	18
-0.732537	0.536610	0.031250	0.000977	45
-0.711744	0.506579	0.000000	0.000000	34
-0.693449	0.480872	0.078125	0.006104	43
-0.709453	0.503323	0.093750	0.008789	45
-0.715111	0.511384	0.046875	0.002197	37
-0.697650	0.486716	0.015625	0.000244	28
-0.744856	0.554811	0.031250	0.000977	27
-0.739906	0.547461	0.078125	0.006104	45
-0.712659	0.507883	0.000000	0.000000	22
-0.772529	0.596801	0.000000	0.000000	32
-0.724503	0.524905	0.031250	0.000977	42
-0.705667	0.497966	0.031250	0.000977	30
-0.696127	0.484592	0.000000	0.000000	20
-0.719258	0.517332	0.093750	0.008789	34
-0.745602	0.555922	0.078125	0.006104	36
-0.703624	0.495087	0.062500	0.003906	33
-0.744558	0.554366	0.093750	0.008789	62
-0.716136	0.512851	0.015625	0.000244	22
-0.729821	0.532639	0.109375	0.011963	34
-0.715964	0.512605	0.031250	0.000977	51
-0.726096	0.527215	0.046875	0.002197	26
-0.738978	0.546088	0.046875	0.002197	22
-0.740304	0.548050	0.031250	0.000977	32
-0.737046	0.543238	0.093750	0.008789	26
-0.741631	0.550016	0.078125	0.006104	71
-0.737882	0.544470	0.156250	0.024414	30
-0.741881	0.550387	0.046875	0.002197	27
-0.736709	0.542740	0.093750	0.008789	29
-0.711107	0.505673	0.046875	0.002197	34
-0.740359	0.548132	0.203125	0.041260	39
-0.709818	0.503841	0.062500	0.003906	20
-0.740853	0.548864	0.093750	0.008789	42
-0.733525	0.538059	0.093750	0.008789	38
-0.682458	0.465748	0.015625	0.000244	66
-0.724993	0.525615	0.015625	0.000244	26
-0.714408	0.510379	0.062500	0.003906	29
-0.703461	0.494858	0.125000	0.015625	36
-0.719080	0.517076	0.015625	0.000244	26
-0.722432	0.521908	0.000000	0.000000	49
-0.727356	0.529047	0.015625	0.000244	45
-0.744078	0.553653	0.046875	0.002197	35
-0.736214	0.542011	0.015625	0.000244	22
-0.697865	0.487015	0.156250	0.024414	28
-0.722335	0.521768	0.140625	0.019775	31
-0.730372	0.533443	0.125000	0.015625	27
-0.674757	0.455297	0.031250	0.000977	47
-0.710411	0.504684	0.203125	0.041260	21
-0.739708	0.547168	0.109375	0.011963	26
-0.760791	0.578803	0.015625	0.000244	24
-0.727188	0.528803	0.140625	0.019775	28
-0.720368	0.518930	0.093750	0.008789	31
-0.719554	0.517758	0.078125	0.006104	45
-0.722154	0.521506	0.046875	0.002197	26
-0.725211	0.525932	0.078125	0.006104	25
-0.730441	0.533543	0.062500	0.003906	25
-0.713206	0.508663	0.015625	0.000244	29
-0.693649	0.481149	0.078125	0.006104	32
-0.733878	0.538577	0.171875	0.029541	32
-0.719018	0.516987	0.109375	0.011963	27
-0.729125	0.531624	0.031250	0.000977	101
-0.711429	0.506131	0.031250	0.000977	40
-0.685263	0.469585	0.109375	0.011963	39
-0.755758	0.571170	0.046875	0.002197	42
-0.722046	0.521350	0.062500	0.003906	34
-0.700097	0.490135	0.062500	0.003906	24
-0.755644	0.570998	0.062500	0.003906	20
-0.710190	0.504370	0.000000	0.000000	50
-0.734911	0.540093	0.031250	0.000977	37
-0.724515	0.524921	0.062500	0.003906	21
-0.773670	0.598565	0.156250	0.024414	18
-0.754017	0.568541	0.109375	0.011963	26
-0.706284	0.498837	0.046875	0.002197	27
-0.720531	0.519166	0.140625	0.019775	35
-0.703708	0.495204	0.062500	0.003906	31
-0.712675	0.507906	0.031250	0.000977	42
-0.724670	0.525146	0.031250	0.000977	28
-0.759581	0.576963	0.062500	0.003906	65
-0.743774	0.553199	0.031250	0.000977	46
-0.770849	0.594208	0.062500	0.003906	43
-0.702661	0.493733	0.125000	0.015625	37
-0.738966	0.546071	0.093750	0.008789	22
-0.715692	0.512215	0.031250	0.000977	29
-0.731041	0.534420	0.078125	0.006104	36
-0.720084	0.518520	0.031250	0.000977	24
-0.700423	0.490593	0.062500	0.003906	25
-0.718718	0.516556	0.015625	0.000244	29
-0.736043	0.541759	0.000000	0.000000	33
-0.741512	0.549840	0.140625	0.019775	32
-0.733459	0.537961	0.031250	0.000977	29
-0.714048	0.509864	0.031250	0.000977	36
-0.722010	0.521298	0.125000	0.015625	38
-0.719261	0.517336	0.078125	0.006104	39
-0.718252	0.515886	0.046875	0.002197	29
-0.706733	0.499472	0.093750	0.008789	41
-0.709530	0.503433	0.140625	0.019775	28
-0.729448	0.532095	0.250000	0.062500	32
-0.743044	0.552115	0.109375	0.011963	40
-0.709886	0.503938	0.031250	0.000977	31
-0.707439	0.500470	0.125000	0.015625	31
-0.724744	0.525254	0.140625	0.019775	48
-0.694673	0.482570	0.015625	0.000244	36
-0.710325	0.504562	0.015625	0.000244	29
-0.735019	0.540253	0.187500	0.035156	33
-0.742096	0.550707	0.031250	0.000977	27
-0.711502	0.506235	0.109375	0.011963	27
-0.701739	0.492438	0.093750	0.008789	39
-0.726444	0.527721	0.031250	0.000977	15
-0.736804	0.542880	0.046875	0.002197	61
-0.711672	0.506477	0.015625	0.000244	32
-0.715056	0.511305	0.078125	0.006104	31
-0.720888	0.519679	0.000000	0.000000	47
-0.709246	0.503031	0.046875	0.002197	37
-0.698929	0.488501	0.046875	0.002197	28
-0.744652	0.554507	0.093750	0.008789	31
-0.706463	0.499090	0.171875	0.029541	51
-0.729620	0.532346	0.000000	0.000000	32
-0.704091	0.495744	0.031250	0.000977	26
-0.709791	0.503804	0.062500	0.003906	32
-0.730435	0.533536	0.093750	0.008789	37
-0.747253	0.558388	0.171875	0.029541	31
-0.725055	0.525704	0.031250	0.000977	26
-0.717815	0.515258	0.000000	0.000000	34
-0.744252	0.553910	0.078125	0.006104	22
-0.719700	0.517969	0.093750	0.008789	30
-0.709341	0.503164	0.015625	0.000244	31
-0.712544	0.507719	0.171875	0.029541	31
-0.725950	0.527003	0.031250	0.000977	25
-0.684133	0.468038	0.078125	0.006104	30
-0.708963	0.502628	0.093750	0.008789	29
-0.699052	0.488674	0.015625	0.000244	28
-0.724537	0.524954	0.109375	0.011963	29
-0.756286	0.571969	0.109375	0.011963	17
-0.762003	0.580649	0.125000	0.015625	30
-0.703795	0.495328	0.031250	0.000977	29
-0.737413	0.543778	0.046875	0.002197	29
-0.741694	0.550110	0.031250	0.000977	47
-0.716108	0.512810	0.125000	0.015625	46
-0.706907	0.499717	0.046875	0.002197	26
-0.770730	0.594024	0.125000	0.015625	23
-0.743177	0.552312	0.140625	0.019775	54
-0.752114	0.565675	0.015625	0.000244	16
-0.729357	0.531961	0.078125	0.006104	33
-0.745697	0.556064	0.250000	0.062500	35
-0.764941	0.585134	0.125000	0.015625	23
-0.690099	0.476236	0.093750	0.008789	38
-0.753677	0.568029	0.078125	0.006104	36
-0.713217	0.508678	0.015625	0.000244	24
-0.693348	0.480731	0.046875	0.002197	23
-0.711438	0.506144	0.062500	0.003906	30
-0.736151	0.541918	0.078125	0.006104	33
-0.726225	0.527402	0.000000	0.000000	25
-0.725534	0.526399	0.093750	0.008789	26
-0.752144	0.565721	0.187500	0.035156	23
-0.714605	0.510661	0.078125	0.006104	24
-0.750748	0.563622	0.093750	0.008789	33
-0.713869	0.509609	0.046875	0.002197	34
-0.760733	0.578715	0.109375	0.011963	22
-0.692183	0.479117	0.156250	0.024414	19
-0.753302	0.567464	0.062500	0.003906	39
-0.724423	0.524789	0.125000	0.015625	34
-0.718820	0.516703	0.062500	0.003906	28
-0.743799	0.553237	0.015625	0.000244	31
-0.715868	0.512467	0.015625	0.000244	20
-0.744620	0.554460	0.015625	0.000244	31
-0.739156	0.546352	0.000000	0.000000	21
-0.803029	0.644856	0.015625	0.000244	25
-0.750845	0.563769	0.078125	0.006104	34
-0.737823	0.544383	0.015625	0.000244	36
-0.741516	0.549845	0.031250	0.000977	31
-0.708471	0.501931	0.000000	0.000000	30
-0.729247	0.531801	0.093750	0.008789	34
