# Energy	Energy^2	Cycle_time
-0.748578	0.560369	29
-0.739969	0.547554	44
-0.734982	0.540198	35
-0.742994	0.552040	62
-0.733727	0.538355	37
-0.743999	0.553534	43
-0.734443	0.539406	39
-0.741004	0.549087	34
-0.751151	0.564228	34
-0.746590	0.557397	55
-0.740558	0.548425	72
-0.741222	0.549410	30
-0.751021	0.564033	45
-0.735038	0.540282	67
-0.757900	0.574412	34
-0.760224	0.577940	54
-0.757492	0.573794	31
-0.730262	0.533282	45
-0.752405	0.566114	42
-0.747229	0.558352	42
-0.742688	0.551585	64
-0.741218	0.549404	44
-0.747142	0.558221	45
-0.743573	0.552900	40
-0.743981	0.553508	46
-0.741483	0.549797	41
-0.732447	0.536479	44
-0.742770	0.551707	32
-0.742939	0.551958	57
-0.739887	0.547433	49
-0.745320	0.555502	38
-0.748932	0.560899	78
-0.733546	0.538090	39
-0.745090	0.555159	29
-0.733539	0.538080	45
-0.738326	0.545125	39
-0.748738	0.560608	38
-0.733856	0.538545	44
-0.743942	0.553450	59
-0.752210	0.565820	38
-0.748168	0.559756	29
-0.740660	0.548577	44
-0.749358	0.561538	41
-0.746580	0.557382	36
-0.743557	0.552877	43
-0.743450	0.552718	34
-0.745610	0.555934	71
-0.748467	0.560203	43
-0.749815	0.562222	39
-0.743643	0.553004	30
-0.748909	0.560864	33
-0.747447	0.558677	43
-0.738977	0.546086	28
-0.754244	0.568884	37
-0.742611	0.551471	60
-0.749193	0.561290	41
-0.749229	0.561344	44
-0.745267	0.555423	57
-0.733197	0.537577	33
-0.743199	0.552344	47
-0.738949	0.546046	48
-0.755980	0.571506	42
-0.739401	0.546714	27
-0.747687	0.559036	36
-0.742601	0.551456	53
-0.734335	0.539248	29
-0.735012	0.540243	47
-0.746180	0.556785	39
-0.741232	0.549424	37
-0.752805	0.566715	38
-0.740085	0.547726	50
-0.741285	0.549504	43
-0.746984	0.557985	62
-0.738886	0.545953	54
-0.746845	0.557778	32
-0.741446	0.549742	35
-0.749588	0.561882	37
-0.739801	0.547306	34
-0.736554	0.542512	36
-0.746187	0.556795	58
-0.750932	0.563899	36
-0.741259	0.549465	42
-0.731968	0.535778	34
-0.746770	0.557666	51
-0.735896	0.541543	47
-0.742298	0.551007	37
-0.739321	0.546595	58
-0.760006	0.577610	42
-0.746183	0.556788	30
-0.750574	0.563362	50
-0.740415	0.548215	44
-0.741899	0.550414	62
-0.742652	0.551533	68
-0.741106	0.549239	43
-0.742162	0.550804	44
-0.739642	0.547070	41
-0.747523	0.558791	31
-0.758347	0.575090	42
-0.743737	0.553145	40
-0.755658	0.571019	68
-0.752283	0.565930	55
-0.742713	0.551622	50
-0.748068	0.559605	43
-0.750231	0.562846	32
-0.740726	0.548674	45
-0.743099	0.552196	58
-0.751101	0.564153	50
-0.744794	0.554718	42
-0.748798	0.560699	51
-0.732449	0.536482	49
-0.742394	0.551149	38
-0.743853	0.553317	35
-0.746097	0.556660	42
-0.743447	0.552713	48
-0.744225	0.553871	38
-0.754477	0.569236	36
-0.744607	0.554439	41
-0.743944	0.553453	28
-0.739804	0.547309	30
-0.741462	0.549766	34
-0.741802	0.550269	36
-0.739892	0.547440	54
-0.754890	0.569858	27
-0.749495	0.561743	41
-0.737387	0.543740	36
-0.753737	0.568119	49
-0.744964	0.554972	43
-0.738698	0.545674	41
-0.745810	0.556233	37
-0.740640	0.548547	41
-0.736849	0.542946	40
-0.741917	0.550441	36
-0.738730	0.545722	42
-0.746935	0.557912	46
-0.739129	0.546311	44
-0.748030	0.559549	41
-0.740965	0.549029	29
-0.756615	0.572467	33
-0.740007	0.547610	40
-0.746771	0.557666	26
-0.744232	0.553882	40
-0.736599	0.542578	57
-0.746267	0.556915	30
-0.741039	0.549138	37
-0.747384	0.558583	42
-0.744702	0.554581	44
-0.752112	0.565673	39
-0.746656	0.557495	53
-0.741251	0.549452	43
-0.745658	0.556006	41
-0.738261	0.545030	36
-0.743588	0.552923	50
-0.743631	0.552987	57
-0.748685	0.560529	62
-0.735973	0.541657	39
-0.739391	0.546699	40
-0.743713	0.553109	67
-0.746961	0.557950	37
-0.731789	0.535516	56
-0.749337	0.561506	57
-0.740900	0.548933	41
-0.749920	0.562379	40
-0.761053	0.579201	46
-0.747297	0.558453	38
-0.739799	0.547303	74
-0.748249	0.559877	37
-0.748600	0.560402	53
-0.746815	0.557733	44
-0.748923	0.560885	58
-0.747839	0.559263	38
-0.737809	0.544362	38
-0.740895	0.548926	36
-0.745902	0.556369	40
-0.740436	0.548245	41
-0.740737	0.548692	54
-0.728153	0.530207	36
-0.754304	0.568975	40
-0.748158	0.559741	42
-0.745432	0.555669	26
-0.753059	0.567098	36
-0.745532	0.555818	48
-0.749889	0.562334	51
-0.742273	0.550969	46
-0.744890	0.554862	39
-0.739788	0.547287	39
-0.748836	0.560756	46
-0.754756	0.569656	45
-0.739472	0.546818	54
-0.737831	0.544394	49
-0.755131	0.570223	31
-0.751453	0.564682	34
-0.728149	0.530202	36
-0.746497	0.557258	38
-0.740802	0.548787	42
-0.733536	0.538075	32
-0.743536	0.552846	37
-0.742613	0.551475	32
-0.738666	0.545627	49
-0.734032	0.538804	27
-0.743392	0.552631	38
-0.751348	0.564524	36
-0.740178	0.547864	70
-0.748752	0.560630	42
-0.738918	0.545999	45
-0.746432	0.557161	33
-0.744555	0.554362	44
-0.740954	0.549013	37
-0.752995	0.567002	37
-0.744207	0.553844	31
-0.741154	0.549309	42
-0.747246	0.558377	49
-0.752594	0.566398	32
-0.741925	0.550452	40
-0.748864	0.560798	44
-0.744912	0.554894	33
-0.743269	0.552449	32
-0.743751	0.553166	41
-0.745327	0.555512	71
-0.745428	0.555664	50
-0.752495	0.566248	36
-0.750440	0.563160	35
-0.745741	0.556130	34
-0.748003	0.559509	46
-0.749865	0.562298	52
-0.743399	0.552642	39
-0.742237	0.550916	42
-0.743097	0.552194	32
-0.748577	0.560367	66
-0.741640	0.550030	34
-0.747895	0.559346	61
-0.742580	0.551426	34
-0.736107	0.541853	50
-0.745329	0.555516	47
-0.744376	0.554095	47
-0.746778	0.557677	32
-0.741136	0.549283	61
-0.747457	0.558692	52
-0.747843	0.559269	52
-0.739825	0.547340	56
-0.738567	0.545481	36
-0.740968	0.549034	33
-0.737987	0.544625	25
-0.742768	0.551705	70
-0.733979	0.538725	30
-0.748550	0.560327	39
-0.742829	0.551795	57
-0.744640	0.554489	31
-0.748426	0.560141	55
-0.739479	0.546829	43
-0.755156	0.570260	39
-0.735497	0.540956	50
-0.760646	0.578583	39
-0.745467	0.555721	52
-0.761505	0.579891	32
-0.749890	0.562334	51
-0.752689	0.566541	46
-0.749443	0.561665	35
-0.740614	0.548509	49
-0.734534	0.539540	45
-0.748451	0.560179	44
-0.740526	0.548379	62
-0.747449	0.558680	45
-0.748752	0.560630	47
-0.739154	0.546349	30
-0.746833	0.557760	35
-0.739597	0.547004	28
-0.743096	0.552191	49
-0.742737	0.551658	45
-0.743943	0.553451	40
-0.754756	0.569657	38
-0.742934	0.551951	53
-0.735094	0.540363	52
-0.750383	0.563075	87
-0.741140	0.549289	39
-0.745595	0.555912	42
-0.755401	0.570630	38
-0.749084	0.561126	34
-0.746275	0.556926	40
-0.742167	0.550811	34
-0.734705	0.539791	37
-0.746290	0.556949	26
-0.756603	0.572448	81
-0.747549	0.558830	37
-0.733034	0.537339	50
-0.744479	0.554249	54
-0.750027	0.562540	36
-0.736551	0.542507	48
-0.749024	0.561036	44
-0.749917	0.562376	37
-0.739664	0.547102	45
-0.750679	0.563518	32
-0.750229	0.562844	47
-0.747189	0.558292	54
-0.756315	0.572012	43
-0.746632	0.557460	38
-0.734309	0.539210	39
-0.734355	0.539277	51
-0.740425	0.548230	37
-0.744885	0.554854	30
-0.751411	0.564618	35
-0.750824	0.563737	39
-0.741260	0.549467	33
-0.747376	0.558571	93
-0.738082	0.544765	78
-0.744372	0.554090	40
-0.749649	0.561974	29
-0.737283	0.543586	50
-0.748189	0.559786	50
-0.752832	0.566757	67
-0.747122	0.558192	32
-0.746757	0.557647	41
-0.750401	0.563102	53
-0.745936	0.556420	37
-0.745162	0.555266	51
-0.737539	0.543965	42
-0.743183	0.552320	60
-0.743810	0.553253	42
-0.751568	0.564855	44
-0.743271	0.552452	99
-0.737955	0.544577	32
-0.734927	0.540117	27
-0.743625	0.552978	45
-0.751752	0.565132	31
-0.752974	0.566969	41
-0.723458	0.523392	74
-0.738678	0.545645	28
-0.742606	0.551464	51
-0.741746	0.550188	38
-0.743854	0.553319	43
-0.733560	0.538110	38
-0.751008	0.564013	50
-0.750259	0.562888	43
-0.742118	0.550739	43
-0.737536	0.543959	40
-0.752108	0.565666	53
-0.747928	0.559397	46
-0.755270	0.570433	51
-0.744190	0.553818	39
-0.745408	0.555633	36
-0.754778	0.569690	33
-0.748736	0.560605	33
-0.741705	0.550126	48
-0.745217	0.555349	36
-0.750431	0.563147	34
-0.746732	0.557609	35
-0.738729	0.545720	31
-0.747284	0.558433	39
-0.749030	0.561045	34
-0.730714	0.533943	36
-0.738307	0.545097	59
-0.742713	0.551622	45
-0.755459	0.570718	41
-0.743796	0.553233	34
-0.747633	0.558955	80
-0.740481	0.548312	48
-0.745174	0.555284	49
-0.749172	0.561258	75
-0.743351	0.552571	38
-0.749076	0.561115	43
-0.734664	0.539731	33
-0.758124	0.574752	53
-0.739480	0.546831	35
-0.750422	0.563133	57
-0.743468	0.552745	41
-0.750161	0.562741	26
-0.742037	0.550619	30
-0.733015	0.537310	33
-0.747286	0.558437	49
-0.745214	0.555344	46
-0.749281	0.561422	51
-0.736865	0.542971	48
-0.746380	0.557083	70
-0.731697	0.535381	66
-0.750067	0.562601	54
-0.745365	0.555569	30
-0.741868	0.550368	39
-0.736062	0.541787	33
-0.741468	0.549775	43
-0.751614	0.564924	34
-0.751159	0.564239	55
-0.745309	0.555485	28
-0.743198	0.552344	36
-0.743648	0.553012	41
-0.734326	0.539235	39
-0.747807	0.559215	39
-0.737542	0.543968	35
-0.746159	0.556754	29
-0.746397	0.557108	61
-0.744238	0.553890	76
-0.740790	0.548769	56
-0.741802	0.550269	38
-0.757212	0.573370	41
-0.743771	0.553195	66
