# Energy	Energy^2	Magnetic	Magnet^2
-0.747532	0.558804	0.062500	0.003906
-0.733124	0.537471	0.109375	0.011963
-0.753576	0.567876	0.093750	0.008789
-0.745325	0.555510	0.023438	0.000549
-0.760827	0.578858	0.054688	0.002991
-0.725036	0.525678	0.031250	0.000977
-0.730685	0.533901	0.023438	0.000549
-0.755827	0.571274	0.031250	0.000977
-0.737031	0.543214	0.007812	0.000061
-0.730663	0.533869	0.132812	0.017639
-0.730644	0.533840	0.054688	0.002991
-0.747510	0.558771	0.015625	0.000244
-0.745694	0.556059	0.007812	0.000061
-0.745743	0.556132	0.046875	0.002197
-0.735441	0.540873	0.062500	0.003906
-0.746978	0.557976	0.031250	0.000977
-0.738863	0.545919	0.062500	0.003906
-0.745986	0.556495	0.039062	0.001526
-0.733276	0.537693	0.007812	0.000061
-0.746471	0.557219	0.070312	0.004944
-0.737268	0.543564	0.132812	0.017639
-0.757200	0.573352	0.054688	0.002991
-0.736889	0.543006	0.132812	0.017639
-0.732419	0.536437	0.015625	0.000244
-0.741605	0.549977	0.054688	0.002991
-0.756042	0.571600	0.039062	0.001526
-0.735350	0.540740	0.093750	0.008789
-0.753116	0.567183	0.070312	0.004944
-0.740990	0.549066	0.015625	0.000244
-0.758738	0.575684	0.031250	0.000977
-0.743480	0.552762	0.031250	0.000977
-0.737826	0.544387	0.039062	0.001526
-0.748176	0.559767	0.117188	0.013733
-0.740019	0.547628	0.101562	0.010315
-0.753533	0.567811	0.054688	0.002991
-0.746469	0.557216	0.031250	0.000977
-0.752612	0.566424	0.023438	0.000549
-0.742433	0.551207	0.078125	0.006104
-0.730624	0.533812	0.054688	0.002991
-0.730153	0.533123	0.070312	0.004944
-0.743094	0.552189	0.015625	0.000244
-0.742895	0.551894	0.062500	0.003906
-0.759550	0.576917	0.046875	0.002197
-0.742297	0.551005	0.101562	0.010315
-0.751859	0.565292	0.226562	0.051331
-0.741583	0.549945	0.078125	0.006104
-0.742912	0.551919	0.062500	0.003906
-0.732535	0.536608	0.109375	0.011963
-0.744653	0.554508	0.023438	0.000549
-0.744486	0.554259	0.007812	0.000061
-0.760102	0.577755	0.031250	0.000977
-0.744063	0.553630	0.046875	0.002197
-0.738868	0.545926	0.023438	0.000549
-0.747958	0.559442	0.039062	0.001526
-0.764589	0.584596	0.039062	0.001526
-0.760566	0.578460	0.039062	0.001526
-0.727451	0.529184	0.031250	0.000977
-0.742904	0.551907	0.046875	0.002197
-0.741827	0.550307	0.031250	0.000977
-0.746605	0.557419	0.046875	0.002197
-0.750079	0.562619	0.023438	0.000549
-0.738175	0.544903	0.070312	0.004944
-0.767408	0.588915	0.125000	0.015625
-0.751115	0.564174	0.046875	0.002197
-0.750326	0.562989	0.031250	0.000977
-0.739237	0.546472	0.085938	0.007385
-0.726080	0.527192	0.046875	0.002197
-0.743362	0.552587	0.093750	0.008789
-0.734531	0.539536	0.062500	0.003906
-0.730697	0.533918	0.023438	0.000549
-0.736234	0.542041	0.054688	0.002991
-0.754455	0.569202	0.031250	0.000977
-0.730313	0.533358	0.070312	0.004944
-0.727558	0.529341	0.023438	0.000549
-0.738757	0.545761	0.062500	0.003906
-0.729786	0.532587	0.085938	0.007385
-0.729552	0.532246	0.078125	0.006104
-0.728902	0.531298	0.015625	0.000244
-0.756530	0.572338	0.039062	0.001526
-0.759155	0.576316	0.015625	0.000244
-0.747695	0.559049	0.046875	0.002197
-0.765357	0.585771	0.070312	0.004944
-0.744342	0.554045	0.039062	0.001526
-0.743195	0.552338	0.093750	0.008789
-0.747274	0.558419	0.078125	0.006104
-0.740379	0.548161	0.039062	0.001526
-0.736165	0.541939	0.046875	0.002197
-0.729687	0.532443	0.015625	0.000244
-0.739816	0.547328	0.000000	0.000000
-0.729075	0.531551	0.117188	0.013733
-0.749023	0.561035	0.093750	0.008789
-0.739893	0.547441	0.093750	0.008789
-0.740946	0.549001	0.023438	0.000549
-0.736350	0.542212	0.000000	0.000000
-0.736157	0.541927	0.015625	0.000244
-0.734910	0.540092	0.039062	0.001526
-0.738227	0.544979	0.023438	0.000549
-0.732363	0.536356	0.093750	0.008789
-0.742917	0.551925	0.015625	0.000244
-0.742322	0.551041	0.085938	0.007385
-0.742993	0.552039	0.015625	0.000244
-0.737219	0.543492	0.039062	0.001526
-0.737535	0.543959	0.000000	0.000000
-0.745363	0.555566	0.125000	0.015625
-0.741976	0.550529	0.031250	0.000977
-0.743627	0.552982	0.031250	0.000977
-0.751214	0.564322	0.046875	0.002197
-0.721286	0.520253	0.046875	0.002197
-0.747824	0.559240	0.007812	0.000061
-0.740233	0.547945	0.031250	0.000977
-0.731299	0.534798	0.007812	0.000061
-0.744458	0.554218	0.054688	0.002991
-0.746056	0.556599	0.046875	0.002197
-0.743090	0.552183	0.101562	0.010315
-0.737552	0.543983	0.085938	0.007385
-0.736368	0.542238	0.031250	0.000977
-0.733113	0.537454	0.000000	0.000000
-0.743556	0.552875	0.109375	0.011963
-0.748221	0.559835	0.054688	0.002991
-0.741854	0.550347	0.023438	0.000549
-0.761648	0.580108	0.007812	0.000061
-0.740794	0.548776	0.039062	0.001526
-0.733956	0.538691	0.015625	0.000244
-0.744075	0.553648	0.031250	0.000977
-0.736666	0.542677	0.007812	0.000061
-0.740230	0.547940	0.046875	0.002197
-0.732532	0.536602	0.007812	0.000061
-0.745065	0.555122	0.031250	0.000977
-0.746894	0.557850	0.023438	0.000549
-0.732896	0.537137	0.070312	0.004944
-0.737440	0.543818	0.039062	0.001526
-0.756198	0.571835	0.101562	0.010315
-0.733949	0.538680	0.093750	0.008789
-0.735388	0.540795	0.078125	0.006104
-0.734443	0.539407	0.031250	0.000977
-0.744335	0.554035	0.000000	0.000000
-0.754580	0.569390	0.132812	0.017639
-0.743310	0.552509	0.062500	0.003906
-0.744098	0.553683	0.023438	0.000549
-0.746350	0.557039	0.015625	0.000244
-0.732555	0.536637	0.078125	0.006104
-0.728577	0.530825	0.062500	0.003906
-0.746641	0.557473	0.054688	0.002991
-0.739838	0.547360	0.046875	0.002197
-0.738495	0.545375	0.015625	0.000244
-0.764622	0.584647	0.007812	0.000061
-0.749861	0.562292	0.007812	0.000061
-0.738737	0.545733	0.007812	0.000061
-0.753676	0.568028	0.007812	0.000061
-0.749490	0.561735	0.046875	0.002197
-0.725361	0.526148	0.046875	0.002197
-0.738225	0.544975	0.078125	0.006104
-0.748328	0.559995	0.039062	0.001526
-0.743044	0.552115	0.140625	0.019775
-0.731911	0.535694	0.062500	0.003906
-0.743264	0.552442	0.117188	0.013733
-0.737533	0.543955	0.023438	0.000549
-0.743041	0.552111	0.031250	0.000977
-0.738042	0.544705	0.054688	0.002991
-0.733305	0.537736	0.093750	0.008789
-0.744190	0.553819	0.046875	0.002197
-0.730288	0.533321	0.046875	0.002197
-0.739108	0.546280	0.062500	0.003906
-0.735027	0.540265	0.039062	0.001526
-0.754888	0.569856	0.093750	0.008789
-0.745548	0.555842	0.140625	0.019775
-0.761767	0.580289	0.054688	0.002991
-0.729701	0.532463	0.054688	0.002991
-0.743207	0.552357	0.125000	0.015625
-0.748869	0.560805	0.070312	0.004944
-0.730954	0.534294	0.000000	0.000000
-0.742409	0.551172	0.101562	0.010315
-0.746212	0.556832	0.062500	0.003906
-0.730401	0.533486	0.015625	0.000244
-0.742042	0.550627	0.109375	0.011963
-0.737673	0.544162	0.078125	0.006104
-0.731044	0.534425	0.023438	0.000549
-0.752322	0.565989	0.023438	0.000549
-0.736892	0.543010	0.109375	0.011963
-0.740127	0.547788	0.179688	0.032288
-0.737219	0.543491	0.109375	0.011963
-0.731385	0.534924	0.078125	0.006104
-0.743569	0.552895	0.093750	0.008789
-0.740466	0.548291	0.070312	0.004944
-0.737451	0.543834	0.093750	0.008789
-0.739249	0.546489	0.007812	0.000061
-0.731517	0.535117	0.093750	0.008789
-0.736660	0.542668	0.031250	0.000977
-0.751531	0.564799	0.007812	0.000061
-0.735519	0.540988	0.101562	0.010315
-0.725792	0.526775	0.007812	0.000061
-0.741367	0.549625	0.000000	0.000000
-0.753928	0.568407	0.070312	0.004944
-0.738404	0.545240	0.023438	0.000549
-0.744066	0.553634	0.101562	0.010315
-0.748808	0.560714	0.054688	0.002991
-0.755745	0.571150	0.046875	0.002197
-0.755245	0.570396	0.093750	0.008789
-0.747866	0.559304	0.085938	0.007385
-0.759306	0.576545	0.039062	0.001526
-0.733823	0.538497	0.132812	0.017639
-0.749566	0.561849	0.023438	0.000549
-0.737667	0.544152	0.031250	0.000977
-0.741522	0.549855	0.070312	0.004944
-0.747803	0.559209	0.070312	0.004944
-0.747776	0.559170	0.023438	0.000549
-0.732081	0.535942	0.031250	0.000977
-0.741181	0.549349	0.015625	0.000244
-0.754498	0.569267	0.085938	0.007385
-0.739654	0.547088	0.062500	0.003906
-0.735286	0.540646	0.039062	0.001526
-0.732195	0.536110	0.007812	0.000061
-0.749432	0.561649	0.062500	0.003906
-0.750068	0.562603	0.039062	0.001526
-0.750238	0.562857	0.000000	0.000000
-0.749155	0.561233	0.023438	0.000549
-0.754111	0.568683	0.007812	0.000061
-0.732534	0.536607	0.039062	0.001526
