# Energy	Energy^2	Magnetic	Magnet^2
-0.699117	0.488765	0.125000	0.015625
-0.604444	0.365353	0.187500	0.035156
-0.661295	0.437311	0.000000	0.000000
-0.706178	0.498688	0.250000	0.062500
-0.592177	0.350674	0.187500	0.035156
-0.702416	0.493388	0.187500	0.035156
-0.697626	0.486683	0.187500	0.035156
-0.658742	0.433941	0.312500	0.097656
-0.751130	0.564196	0.187500	0.035156
-0.645883	0.417165	0.062500	0.003906
-0.652569	0.425846	0.000000	0.000000
-0.663672	0.440461	0.062500	0.003906
-0.674555	0.455024	0.312500	0.097656
-0.688201	0.473620	0.062500	0.003906
-0.666909	0.444768	0.187500	0.035156
-0.648285	0.420274	0.312500	0.097656
-0.642546	0.412865	0.125000	0.015625
-0.718766	0.516624	0.062500	0.003906
-0.679982	0.462376	0.062500	0.003906
-0.728366	0.530517	0.312500	0.097656
-0.692685	0.479813	0.062500	0.003906
-0.656636	0.431171	0.062500	0.003906
-0.709095	0.502816	0.125000	0.015625
-0.662136	0.438425	0.125000	0.015625
-0.707310	0.500287	0.062500	0.003906
-0.620858	0.385465	0.187500	0.035156
-0.709036	0.502732	0.062500	0.003906
-0.754473	0.569229	0.125000	0.015625
-0.691292	0.477884	0.375000	0.140625
-0.698953	0.488535	0.312500	0.097656
-0.670572	0.449667	0.437500	0.191406
-0.681943	0.465046	0.187500	0.035156
-0.610510	0.372723	0.062500	0.003906
-0.675953	0.456913	0.062500	0.003906
-0.712812	0.508102	0.187500	0.035156
-0.688836	0.474495	0.062500	0.003906
-0.664908	0.442102	0.000000	0.000000
-0.693536	0.480992	0.375000	0.140625
-0.689999	0.476098	0.250000	0.062500
-0.712101	0.507089	0.000000	0.000000
-0.607977	0.369637	0.062500	0.003906
-0.696804	0.485536	0.000000	0.000000
-0.727420	0.529140	0.312500	0.097656
-0.719556	0.517762	0.000000	0.000000
-0.662168	0.438466	0.312500	0.097656
-0.653471	0.427024	0.250000	0.062500
-0.647970	0.419865	0.062500	0.003906
-0.679378	0.461555	0.125000	0.015625
-0.660582	0.436368	0.187500	0.035156
-0.658950	0.434214	0.125000	0.015625
-0.748144	0.559720	0.125000	0.015625
-0.645520	0.416697	0.187500	0.035156
-0.669052	0.447631	0.062500	0.003906
-0.650598	0.423277	0.375000	0.140625
-0.628670	0.395226	0.062500	0.003906
-0.619483	0.383759	0.062500	0.003906
-0.658014	0.432983	0.250000	0.062500
-0.725840	0.526843	0.000000	0.000000
-0.689190	0.474983	0.125000	0.015625
-0.721960	0.521226	0.375000	0.140625
-0.692290	0.479265	0.125000	0.015625
-0.677037	0.458379	0.062500	0.003906
-0.647496	0.419250	0.125000	0.015625
-0.661824	0.438011	0.062500	0.003906
-0.679573	0.461819	0.062500	0.003906
-0.786959	0.619305	0.125000	0.015625
-0.730099	0.533044	0.125000	0.015625
-0.712172	0.507189	0.250000	0.062500
-0.676246	0.457308	0.062500	0.003906
-0.622467	0.387465	0.000000	0.000000
-0.661134	0.437098	0.250000	0.062500
-0.717203	0.514380	0.062500	0.003906
-0.678126	0.459855	0.187500	0.035156
-0.678636	0.460547	0.312500	0.097656
-0.633810	0.401715	0.312500	0.097656
-0.704916	0.496906	0.187500	0.035156
-0.692766	0.479925	0.375000	0.140625
-0.669747	0.448561	0.125000	0.015625
-0.778765	0.606474	0.375000	0.140625
-0.718123	0.515700	0.187500	0.035156
-0.737336	0.543664	0.000000	0.000000
-0.752397	0.566101	0.125000	0.015625
-0.637256	0.406095	0.125000	0.015625
-0.675314	0.456049	0.062500	0.003906
-0.692520	0.479584	0.125000	0.015625
-0.644363	0.415204	0.312500	0.097656
-0.676964	0.458281	0.062500	0.003906
-0.645930	0.417226	0.062500	0.003906
-0.626486	0.392485	0.187500	0.035156
-0.721468	0.520516	0.125000	0.015625
-0.603633	0.364373	0.125000	0.015625
-0.676636	0.457836	0.250000	0.062500
-0.670092	0.449023	0.187500	0.035156
-0.626724	0.392783	0.062500	0.003906
-0.702919	0.494095	0.187500	0.035156
-0.639481	0.408936	0.312500	0.097656
-0.688018	0.473369	0.187500	0.035156
-0.646355	0.417775	0.062500	0.003906
-0.665113	0.442375	0.062500	0.003906
-0.661348	0.437381	0.187500	0.035156
-0.695894	0.484269	0.125000	0.015625
-0.656813	0.431403	0.062500	0.003906
-0.657230	0.431951	0.187500	0.035156
-0.634481	0.402567	0.125000	0.015625
-0.649607	0.421989	0.187500	0.035156
-0.623072	0.388219	0.062500	0.003906
-0.626945	0.393060	0.062500	0.003906
-0.753100	0.567159	0.187500	0.035156
-0.619419	0.383680	0.312500	0.097656
-0.693759	0.481302	0.437500	0.191406
-0.722668	0.522250	0.062500	0.003906
-0.706642	0.499343	0.125000	0.015625
-0.803920	0.646288	0.187500	0.035156
-0.676016	0.456997	0.125000	0.015625
-0.650567	0.423238	0.125000	0.015625
-0.723603	0.523602	0.125000	0.015625
-0.713274	0.508760	0.062500	0.003906
-0.684049	0.467924	0.312500	0.097656
-0.661997	0.438240	0.125000	0.015625
-0.765496	0.585985	0.187500	0.035156
-0.610770	0.373039	0.375000	0.140625
-0.735023	0.540259	0.000000	0.000000
-0.797346	0.635761	0.125000	0.015625
-0.745937	0.556422	0.125000	0.015625
-0.662974	0.439535	0.187500	0.035156
-0.650258	0.422836	0.125000	0.015625
-0.679636	0.461905	0.125000	0.015625
-0.643754	0.414419	0.250000	0.062500
-0.694658	0.482550	0.250000	0.062500
-0.702986	0.494189	0.312500	0.097656
-0.673355	0.453407	0.375000	0.140625
-0.679999	0.462398	0.062500	0.003906
-0.610742	0.373006	0.437500	0.191406
-0.776559	0.603044	0.312500	0.097656
-0.685984	0.470574	0.125000	0.015625
-0.694261	0.481998	0.062500	0.003906
-0.658009	0.432976	0.000000	0.000000
-0.664619	0.441719	0.125000	0.015625
-0.755963	0.571481	0.125000	0.015625
-0.715786	0.512349	0.250000	0.062500
-0.656915	0.431537	0.000000	0.000000
-0.665672	0.443119	0.250000	0.062500
-0.670500	0.449570	0.187500	0.035156
-0.690852	0.477276	0.062500	0.003906
-0.676315	0.457402	0.187500	0.035156
-0.675329	0.456069	0.312500	0.097656
-0.714447	0.510434	0.000000	0.000000
-0.725336	0.526112	0.000000	0.000000
-0.701598	0.492239	0.250000	0.062500
-0.669240	0.447883	0.187500	0.035156
-0.668438	0.446809	0.062500	0.003906
-0.623658	0.388949	0.062500	0.003906
-0.735431	0.540858	0.000000	0.000000
-0.704835	0.496792	0.187500	0.035156
-0.729831	0.532653	0.062500	0.003906
-0.667132	0.445065	0.000000	0.000000
-0.644479	0.415353	0.062500	0.003906
-0.648480	0.420526	0.125000	0.015625
-0.667221	0.445184	0.000000	0.000000
-0.672136	0.451767	0.250000	0.062500
-0.693333	0.480710	0.062500	0.003906
-0.764770	0.584873	0.250000	0.062500
-0.678115	0.459840	0.062500	0.003906
-0.695905	0.484284	0.125000	0.015625
-0.741230	0.549421	0.000000	0.000000
-0.698166	0.487435	0.062500	0.003906
-0.658718	0.433909	0.250000	0.062500
-0.739994	0.547591	0.125000	0.015625
-0.750333	0.563000	0.125000	0.015625
-0.754986	0.570003	0.375000	0.140625
-0.674151	0.454480	0.062500	0.003906
-0.859184	0.738198	0.187500	0.035156
-0.683079	0.466597	0.062500	0.003906
-0.662334	0.438687	0.125000	0.015625
-0.656664	0.431207	0.187500	0.035156
-0.685378	0.469743	0.062500	0.003906
-0.670459	0.449515	0.187500	0.035156
-0.628790	0.395377	0.125000	0.015625
-0.647911	0.419789	0.000000	0.000000
-0.610888	0.373184	0.062500	0.003906
-0.659707	0.435214	0.375000	0.140625
-0.686618	0.471444	0.062500	0.003906
-0.672987	0.452911	0.187500	0.035156
-0.815784	0.665504	0.187500	0.035156
-0.714008	0.509808	0.250000	0.062500
-0.696115	0.484576	0.187500	0.035156
-0.636665	0.405342	0.062500	0.003906
-0.680005	0.462406	0.062500	0.003906
-0.707930	0.501165	0.125000	0.015625
-0.659566	0.435027	0.250000	0.062500
-0.691927	0.478763	0.062500	0.003906
-0.648609	0.420693	0.187500	0.035156
