# Energy	Energy^2	Magnetic	Magnet^2
-0.756197	0.571834	0.034180	0.001168
-0.750442	0.563163	0.027344	0.000748
-0.752856	0.566793	0.037109	0.001377
-0.755607	0.570942	0.008789	0.000077
-0.753413	0.567631	0.029297	0.000858
-0.752952	0.566937	0.027344	0.000748
-0.756489	0.572275	0.022461	0.000504
-0.756075	0.571649	0.008789	0.000077
-0.755938	0.571443	0.002930	0.000009
-0.755860	0.571325	0.028320	0.000802
-0.756372	0.572098	0.005859	0.000034
-0.759291	0.576522	0.006836	0.000047
-0.755537	0.570836	0.025391	0.000645
-0.759391	0.576675	0.017578	0.000309
-0.754120	0.568697	0.009766	0.000095
-0.756316	0.572014	0.017578	0.000309
-0.751602	0.564905	0.055664	0.003098
-0.756807	0.572757	0.001953	0.000004
-0.754966	0.569973	0.012695	0.000161
-0.755952	0.571464	0.000977	0.000001
-0.751562	0.564845	0.020508	0.000421
-0.754315	0.568991	0.022461	0.000504
-0.756547	0.572363	0.014648	0.000215
-0.749490	0.561735	0.053711	0.002885
-0.751253	0.564381	0.020508	0.000421
-0.756462	0.572235	0.012695	0.000161
-0.756255	0.571921	0.013672	0.000187
-0.750011	0.562517	0.016602	0.000276
-0.751175	0.564263	0.021484	0.000462
-0.758460	0.575262	0.015625	0.000244
-0.754309	0.568982	0.013672	0.000187
-0.751211	0.564318	0.030273	0.000916
-0.754223	0.568853	0.008789	0.000077
-0.754324	0.569005	0.013672	0.000187
-0.756531	0.572339	0.029297	0.000858
-0.752364	0.566052	0.000977	0.000001
-0.746977	0.557974	0.041016	0.001682
-0.760545	0.578429	0.017578	0.000309
-0.754679	0.569541	0.003906	0.000015
-0.754570	0.569375	0.011719	0.000137
-0.752694	0.566548	0.000977	0.000001
-0.755328	0.570520	0.000977	0.000001
-0.752383	0.566079	0.008789	0.000077
-0.755854	0.571315	0.006836	0.000047
-0.754666	0.569520	0.024414	0.000596
-0.755306	0.570487	0.028320	0.000802
-0.755125	0.570214	0.019531	0.000381
-0.754161	0.568759	0.002930	0.000009
-0.754390	0.569104	0.041016	0.001682
-0.755847	0.571304	0.015625	0.000244
-0.754162	0.568761	0.017578	0.000309
-0.750424	0.563137	0.001953	0.000004
-0.753559	0.567851	0.004883	0.000024
-0.749598	0.561897	0.009766	0.000095
-0.756779	0.572714	0.006836	0.000047
-0.750803	0.563705	0.023438	0.000549
-0.755082	0.570149	0.001953	0.000004
-0.753485	0.567740	0.027344	0.000748
-0.756889	0.572882	0.003906	0.000015
-0.752989	0.566992	0.013672	0.000187
-0.754308	0.568981	0.010742	0.000115
-0.752387	0.566087	0.012695	0.000161
-0.755472	0.570738	0.033203	0.001102
-0.753235	0.567362	0.013672	0.000187
-0.756248	0.571911	0.001953	0.000004
-0.752154	0.565735	0.041992	0.001763
-0.746667	0.557512	0.007812	0.000061
-0.756650	0.572520	0.015625	0.000244
-0.753407	0.567622	0.011719	0.000137
-0.752529	0.566300	0.002930	0.000009
-0.750027	0.562541	0.032227	0.001039
-0.754998	0.570021	0.025391	0.000645
-0.754207	0.568828	0.029297	0.000858
-0.752563	0.566351	0.033203	0.001102
-0.748670	0.560507	0.009766	0.000095
-0.754243	0.568882	0.009766	0.000095
-0.749619	0.561929	0.019531	0.000381
-0.754813	0.569743	0.019531	0.000381
-0.753263	0.567405	0.011719	0.000137
-0.749816	0.562224	0.013672	0.000187
-0.750582	0.563374	0.015625	0.000244
-0.752590	0.566392	0.022461	0.000504
-0.753676	0.568028	0.015625	0.000244
-0.755526	0.570819	0.007812	0.000061
-0.755319	0.570507	0.003906	0.000015
-0.755435	0.570683	0.001953	0.000004
-0.753464	0.567709	0.023438	0.000549
-0.754051	0.568593	0.017578	0.000309
-0.756639	0.572502	0.021484	0.000462
-0.758375	0.575132	0.007812	0.000061
-0.756234	0.571889	0.007812	0.000061
-0.755593	0.570921	0.037109	0.001377
-0.749109	0.561164	0.014648	0.000215
-0.751233	0.564351	0.040039	0.001603
-0.755452	0.570708	0.007812	0.000061
-0.752441	0.566168	0.017578	0.000309
-0.756511	0.572309	0.026367	0.000695
-0.751090	0.564137	0.012695	0.000161
-0.751431	0.564648	0.024414	0.000596
-0.750971	0.563957	0.006836	0.000047
-0.756314	0.572011	0.007812	0.000061
-0.756909	0.572911	0.006836	0.000047
-0.752919	0.566888	0.030273	0.000916
-0.756875	0.572860	0.005859	0.000034
-0.751274	0.564412	0.019531	0.000381
-0.755437	0.570685	0.012695	0.000161
-0.756304	0.571996	0.022461	0.000504
-0.753485	0.567740	0.007812	0.000061
-0.757694	0.574101	0.022461	0.000504
-0.754433	0.569170	0.013672	0.000187
-0.749537	0.561806	0.026367	0.000695
-0.752808	0.566719	0.025391	0.000645
-0.751170	0.564256	0.015625	0.000244
-0.749517	0.561776	0.003906	0.000015
-0.755260	0.570418	0.028320	0.000802
-0.758293	0.575009	0.011719	0.000137
-0.755009	0.570038	0.017578	0.000309
