# Energy	Energy^2	Magnetic	Magnet^2
-0.748356	0.560036	0.085938	0.007385
-0.734182	0.539023	0.015625	0.000244
-0.739975	0.547562	0.007812	0.000061
-0.743829	0.553282	0.109375	0.011963
-0.754892	0.569862	0.007812	0.000061
-0.728566	0.530808	0.039062	0.001526
-0.740882	0.548906	0.070312	0.004944
-0.737273	0.543572	0.093750	0.008789
-0.767013	0.588309	0.054688	0.002991
-0.739407	0.546723	0.054688	0.002991
-0.748326	0.559992	0.039062	0.001526
-0.735154	0.540452	0.031250	0.000977
-0.731206	0.534662	0.031250	0.000977
-0.736871	0.542980	0.000000	0.000000
-0.732262	0.536208	0.078125	0.006104
-0.758097	0.574711	0.023438	0.000549
-0.767967	0.589774	0.046875	0.002197
-0.751394	0.564593	0.085938	0.007385
-0.726170	0.527323	0.117188	0.013733
-0.729414	0.532045	0.132812	0.017639
-0.747018	0.558036	0.062500	0.003906
-0.737314	0.543633	0.031250	0.000977
-0.741258	0.549464	0.093750	0.008789
-0.731462	0.535036	0.085938	0.007385
-0.737284	0.543587	0.031250	0.000977
-0.764110	0.583864	0.054688	0.002991
-0.737424	0.543794	0.054688	0.002991
-0.743902	0.553390	0.070312	0.004944
-0.744134	0.553735	0.023438	0.000549
-0.732337	0.536318	0.117188	0.013733
-0.742580	0.551425	0.117188	0.013733
-0.738764	0.545772	0.039062	0.001526
-0.750868	0.563803	0.054688	0.002991
-0.737151	0.543391	0.070312	0.004944
-0.763494	0.582923	0.031250	0.000977
-0.751512	0.564771	0.070312	0.004944
-0.743093	0.552187	0.015625	0.000244
-0.739756	0.547239	0.085938	0.007385
-0.740125	0.547784	0.007812	0.000061
-0.731475	0.535056	0.039062	0.001526
-0.741311	0.549542	0.070312	0.004944
-0.760607	0.578524	0.031250	0.000977
-0.774154	0.599315	0.101562	0.010315
-0.741382	0.549647	0.070312	0.004944
-0.744292	0.553970	0.046875	0.002197
-0.749125	0.561189	0.039062	0.001526
-0.743657	0.553026	0.054688	0.002991
-0.735331	0.540712	0.015625	0.000244
-0.733255	0.537663	0.031250	0.000977
-0.751557	0.564837	0.039062	0.001526
-0.745167	0.555274	0.031250	0.000977
-0.742829	0.551795	0.101562	0.010315
-0.752748	0.566630	0.007812	0.000061
-0.750826	0.563740	0.007812	0.000061
-0.741857	0.550351	0.062500	0.003906
-0.740816	0.548808	0.054688	0.002991
-0.763804	0.583397	0.117188	0.013733
-0.727512	0.529274	0.132812	0.017639
-0.749721	0.562082	0.000000	0.000000
-0.741792	0.550256	0.023438	0.000549
-0.740847	0.548855	0.023438	0.000549
-0.737855	0.544430	0.078125	0.006104
-0.753596	0.567907	0.023438	0.000549
-0.736122	0.541876	0.085938	0.007385
-0.760282	0.578028	0.062500	0.003906
-0.730550	0.533704	0.039062	0.001526
-0.733162	0.537526	0.023438	0.000549
-0.746035	0.556568	0.078125	0.006104
-0.769088	0.591497	0.031250	0.000977
-0.740474	0.548302	0.046875	0.002197
-0.745434	0.555673	0.039062	0.001526
-0.730516	0.533653	0.023438	0.000549
-0.742137	0.550768	0.015625	0.000244
-0.733171	0.537539	0.023438	0.000549
-0.734114	0.538924	0.117188	0.013733
-0.733567	0.538120	0.046875	0.002197
-0.735023	0.540260	0.007812	0.000061
-0.740577	0.548454	0.054688	0.002991
-0.738670	0.545634	0.023438	0.000549
-0.733411	0.537892	0.015625	0.000244
-0.738684	0.545654	0.015625	0.000244
-0.756191	0.571825	0.046875	0.002197
-0.756298	0.571986	0.015625	0.000244
-0.733074	0.537397	0.046875	0.002197
-0.728147	0.530198	0.039062	0.001526
-0.730486	0.533610	0.015625	0.000244
-0.761214	0.579446	0.046875	0.002197
-0.742412	0.551175	0.062500	0.003906
-0.733809	0.538476	0.070312	0.004944
-0.748122	0.559686	0.039062	0.001526
-0.741082	0.549202	0.000000	0.000000
-0.727123	0.528707	0.062500	0.003906
-0.745262	0.555415	0.007812	0.000061
-0.742269	0.550963	0.078125	0.006104
-0.750781	0.563672	0.101562	0.010315
-0.725880	0.526902	0.039062	0.001526
-0.738494	0.545374	0.046875	0.002197
-0.727386	0.529090	0.046875	0.002197
-0.742903	0.551905	0.109375	0.011963
-0.724997	0.525620	0.007812	0.000061
-0.723798	0.523884	0.007812	0.000061
-0.747180	0.558277	0.039062	0.001526
-0.737447	0.543828	0.000000	0.000000
-0.750924	0.563886	0.039062	0.001526
-0.756060	0.571627	0.007812	0.000061
-0.730084	0.533023	0.054688	0.002991
-0.728241	0.530335	0.046875	0.002197
-0.735431	0.540858	0.054688	0.002991
-0.740735	0.548688	0.085938	0.007385
-0.743357	0.552580	0.125000	0.015625
-0.745947	0.556437	0.078125	0.006104
-0.735660	0.541196	0.062500	0.003906
-0.758007	0.574575	0.023438	0.000549
-0.732356	0.536345	0.109375	0.011963
-0.746008	0.556528	0.031250	0.000977
-0.754168	0.568770	0.109375	0.011963
-0.761389	0.579713	0.015625	0.000244
-0.737019	0.543198	0.007812	0.000061
-0.732301	0.536265	0.054688	0.002991
-0.740795	0.548777	0.031250	0.000977
-0.745755	0.556151	0.039062	0.001526
-0.741408	0.549686	0.062500	0.003906
-0.731143	0.534570	0.031250	0.000977
-0.727533	0.529304	0.015625	0.000244
-0.739767	0.547256	0.125000	0.015625
-0.738658	0.545615	0.015625	0.000244
-0.742923	0.551935	0.000000	0.000000
-0.730153	0.533124	0.015625	0.000244
-0.726608	0.527959	0.062500	0.003906
-0.743887	0.553367	0.023438	0.000549
-0.721203	0.520133	0.085938	0.007385
-0.744544	0.554345	0.093750	0.008789
-0.756578	0.572410	0.031250	0.000977
-0.749840	0.562260	0.015625	0.000244
-0.750078	0.562617	0.093750	0.008789
-0.755318	0.570506	0.093750	0.008789
-0.737796	0.544344	0.031250	0.000977
-0.755328	0.570520	0.054688	0.002991
-0.731892	0.535666	0.046875	0.002197
-0.744852	0.554804	0.054688	0.002991
-0.759676	0.577108	0.000000	0.000000
-0.759672	0.577102	0.031250	0.000977
-0.736702	0.542730	0.085938	0.007385
-0.749831	0.562247	0.078125	0.006104
-0.735660	0.541196	0.023438	0.000549
-0.741081	0.549201	0.007812	0.000061
-0.745878	0.556334	0.054688	0.002991
-0.742849	0.551825	0.140625	0.019775
-0.742362	0.551102	0.039062	0.001526
-0.736423	0.542319	0.015625	0.000244
-0.737105	0.543323	0.054688	0.002991
-0.740480	0.548311	0.031250	0.000977
-0.734058	0.538840	0.070312	0.004944
-0.729264	0.531826	0.054688	0.002991
-0.762849	0.581939	0.062500	0.003906
-0.737230	0.543508	0.046875	0.002197
-0.770764	0.594077	0.031250	0.000977
-0.765268	0.585636	0.046875	0.002197
-0.750630	0.563445	0.007812	0.000061
-0.754228	0.568860	0.031250	0.000977
-0.741676	0.550083	0.000000	0.000000
-0.760440	0.578269	0.000000	0.000000
-0.763303	0.582632	0.078125	0.006104
-0.753075	0.567122	0.000000	0.000000
-0.742682	0.551576	0.039062	0.001526
-0.735765	0.541350	0.031250	0.000977
-0.739925	0.547489	0.015625	0.000244
-0.747055	0.558091	0.015625	0.000244
-0.749684	0.562026	0.007812	0.000061
-0.738519	0.545410	0.023438	0.000549
-0.750409	0.563114	0.078125	0.006104
-0.753570	0.567868	0.132812	0.017639
-0.748030	0.559548	0.085938	0.007385
-0.754481	0.569241	0.023438	0.000549
-0.759066	0.576181	0.046875	0.002197
-0.742717	0.551629	0.000000	0.000000
-0.738129	0.544835	0.054688	0.002991
-0.752946	0.566927	0.093750	0.008789
-0.739964	0.547547	0.109375	0.011963
-0.732978	0.537257	0.039062	0.001526
-0.738280	0.545057	0.062500	0.003906
-0.733036	0.537342	0.000000	0.000000
-0.735577	0.541073	0.070312	0.004944
-0.743347	0.552565	0.054688	0.002991
-0.739614	0.547029	0.007812	0.000061
-0.750864	0.563796	0.046875	0.002197
-0.750027	0.562540	0.054688	0.002991
-0.731152	0.534583	0.000000	0.000000
-0.755304	0.570483	0.078125	0.006104
-0.762276	0.581065	0.117188	0.013733
-0.741909	0.550429	0.039062	0.001526
-0.743165	0.552295	0.031250	0.000977
-0.751323	0.564486	0.023438	0.000549
-0.745160	0.555263	0.070312	0.004944
-0.740619	0.548516	0.062500	0.003906
-0.729894	0.532746	0.046875	0.002197
-0.736829	0.542918	0.007812	0.000061
-0.749839	0.562259	0.000000	0.000000
-0.742438	0.551214	0.000000	0.000000
-0.746078	0.556633	0.093750	0.008789
-0.757057	0.573135	0.015625	0.000244
-0.725734	0.526690	0.046875	0.002197
-0.731430	0.534989	0.039062	0.001526
-0.751085	0.564129	0.031250	0.000977
-0.746082	0.556638	0.000000	0.000000
-0.736471	0.542390	0.101562	0.010315
-0.749349	0.561524	0.007812	0.000061
-0.731602	0.535242	0.070312	0.004944
-0.740726	0.548675	0.039062	0.001526
-0.749146	0.561219	0.101562	0.010315
-0.748767	0.560652	0.039062	0.001526
-0.735557	0.541044	0.031250	0.000977
-0.754749	0.569647	0.085938	0.007385
-0.733386	0.537856	0.109375	0.011963
-0.741327	0.549566	0.070312	0.004944
-0.729095	0.531579	0.054688	0.002991
-0.756155	0.571770	0.015625	0.000244
-0.733531	0.538067	0.078125	0.006104
-0.745972	0.556475	0.039062	0.001526
-0.739389	0.546696	0.015625	0.000244
-0.754278	0.568936	0.039062	0.001526
-0.759987	0.577580	0.007812	0.000061
-0.740957	0.549017	0.000000	0.000000
-0.735774	0.541364	0.054688	0.002991
-0.756277	0.571955	0.015625	0.000244
-0.737426	0.543797	0.070312	0.004944
-0.721227	0.520168	0.023438	0.000549
-0.750259	0.562888	0.023438	0.000549
-0.763917	0.583569	0.023438	0.000549
-0.732485	0.536534	0.101562	0.010315
-0.759638	0.577050	0.031250	0.000977
-0.745164	0.555269	0.046875	0.002197
-0.734994	0.540216	0.031250	0.000977
-0.741055	0.549162	0.070312	0.004944
-0.740364	0.548138	0.085938	0.007385
-0.742059	0.550652	0.015625	0.000244
-0.757706	0.574119	0.054688	0.002991
-0.736978	0.543137	0.085938	0.007385
-0.748677	0.560518	0.039062	0.001526
-0.752538	0.566313	0.007812	0.000061
-0.749874	0.562311	0.078125	0.006104
-0.742868	0.551853	0.093750	0.008789
-0.743926	0.553427	0.039062	0.001526
-0.746368	0.557065	0.015625	0.000244
-0.751387	0.564582	0.093750	0.008789
-0.760298	0.578053	0.007812	0.000061
-0.739483	0.546835	0.039062	0.001526
-0.753138	0.567217	0.031250	0.000977
-0.745885	0.556345	0.007812	0.000061
-0.739146	0.546336	0.085938	0.007385
-0.736751	0.542802	0.132812	0.017639
-0.737955	0.544577	0.007812	0.000061
-0.742146	0.550781	0.070312	0.004944
-0.746256	0.556899	0.070312	0.004944
-0.760339	0.578116	0.101562	0.010315
-0.752528	0.566299	0.023438	0.000549
-0.739715	0.547178	0.085938	0.007385
-0.738390	0.545220	0.046875	0.002197
-0.754136	0.568720	0.070312	0.004944
-0.746563	0.557356	0.125000	0.015625
-0.740799	0.548783	0.062500	0.003906
-0.744443	0.554196	0.015625	0.000244
-0.751753	0.565133	0.062500	0.003906
-0.727632	0.529449	0.015625	0.000244
-0.736267	0.542089	0.054688	0.002991
-0.750666	0.563500	0.039062	0.001526
-0.757298	0.573500	0.140625	0.019775
-0.742253	0.550940	0.046875	0.002197
-0.739612	0.547025	0.039062	0.001526
-0.738317	0.545111	0.062500	0.003906
-0.746896	0.557854	0.062500	0.003906
-0.748690	0.560537	0.015625	0.000244
-0.750177	0.562766	0.023438	0.000549
-0.752824	0.566744	0.125000	0.015625
-0.738970	0.546077	0.039062	0.001526
-0.742555	0.551388	0.054688	0.002991
-0.729562	0.532261	0.015625	0.000244
-0.733013	0.537307	0.109375	0.011963
-0.743015	0.552071	0.054688	0.002991
-0.760479	0.578328	0.054688	0.002991
-0.724723	0.525224	0.039062	0.001526
-0.743258	0.552433	0.023438	0.000549
-0.740982	0.549055	0.039062	0.001526
-0.729488	0.532152	0.015625	0.000244
-0.745448	0.555693	0.085938	0.007385
-0.753653	0.567993	0.054688	0.002991
-0.741215	0.549399	0.093750	0.008789
-0.733610	0.538183	0.007812	0.000061
-0.743656	0.553024	0.062500	0.003906
-0.754423	0.569154	0.062500	0.003906
-0.728832	0.531196	0.046875	0.002197
-0.740294	0.548036	0.054688	0.002991
-0.743482	0.552765	0.062500	0.003906
-0.735767	0.541353	0.039062	0.001526
-0.728669	0.530959	0.039062	0.001526
-0.740569	0.548442	0.125000	0.015625
-0.747516	0.558780	0.070312	0.004944
-0.749062	0.561094	0.039062	0.001526
-0.748016	0.559528	0.015625	0.000244
-0.746106	0.556675	0.023438	0.000549
-0.745525	0.555807	0.085938	0.007385
-0.745130	0.555219	0.031250	0.000977
-0.730190	0.533177	0.101562	0.010315
-0.746772	0.557668	0.062500	0.003906
-0.731477	0.535058	0.007812	0.000061
-0.749908	0.562362	0.023438	0.000549
-0.746588	0.557393	0.085938	0.007385
-0.747362	0.558550	0.031250	0.000977
-0.762589	0.581542	0.109375	0.011963
-0.729091	0.531574	0.070312	0.004944
-0.749790	0.562186	0.062500	0.003906
-0.756649	0.572517	0.085938	0.007385
-0.756470	0.572247	0.023438	0.000549
-0.746402	0.557116	0.046875	0.002197
-0.753574	0.567873	0.031250	0.000977
-0.732854	0.537075	0.015625	0.000244
-0.746837	0.557765	0.062500	0.003906
-0.737969	0.544598	0.015625	0.000244
-0.738745	0.545745	0.039062	0.001526
-0.743012	0.552066	0.007812	0.000061
-0.733623	0.538203	0.054688	0.002991
-0.738097	0.544787	0.062500	0.003906
-0.739249	0.546488	0.015625	0.000244
-0.762704	0.581718	0.000000	0.000000
-0.737776	0.544314	0.007812	0.000061
-0.756359	0.572080	0.039062	0.001526
-0.744299	0.553982	0.039062	0.001526
-0.744876	0.554840	0.101562	0.010315
-0.738134	0.544841	0.117188	0.013733
-0.737980	0.544615	0.109375	0.011963
-0.732520	0.536586	0.023438	0.000549
-0.749500	0.561750	0.101562	0.010315
-0.754833	0.569772	0.054688	0.002991
-0.741569	0.549925	0.007812	0.000061
-0.729482	0.532144	0.015625	0.000244
-0.743246	0.552415	0.023438	0.000549
-0.738298	0.545084	0.031250	0.000977
-0.744995	0.555017	0.125000	0.015625
-0.767555	0.589141	0.015625	0.000244
-0.741587	0.549951	0.140625	0.019775
-0.747355	0.558539	0.023438	0.000549
-0.737821	0.544379	0.062500	0.003906
-0.735080	0.540342	0.031250	0.000977
-0.739613	0.547028	0.015625	0.000244
-0.747417	0.558632	0.046875	0.002197
-0.756416	0.572165	0.078125	0.006104
-0.737304	0.543617	0.101562	0.010315
-0.736334	0.542187	0.000000	0.000000
-0.742886	0.551880	0.015625	0.000244
-0.771289	0.594887	0.007812	0.000061
-0.752710	0.566572	0.054688	0.002991
-0.756869	0.572851	0.031250	0.000977
-0.740203	0.547901	0.007812	0.000061
-0.756461	0.572233	0.109375	0.011963
-0.734844	0.539996	0.007812	0.000061
-0.730338	0.533393	0.015625	0.000244
-0.740752	0.548713	0.007812	0.000061
-0.740916	0.548956	0.070312	0.004944
-0.751376	0.564566	0.101562	0.010315
-0.738156	0.544875	0.007812	0.000061
-0.736890	0.543007	0.054688	0.002991
-0.740328	0.548086	0.062500	0.003906
-0.753792	0.568202	0.015625	0.000244
-0.732243	0.536180	0.070312	0.004944
-0.733794	0.538453	0.148438	0.022034
-0.734894	0.540070	0.023438	0.000549
-0.745517	0.555795	0.000000	0.000000
-0.739968	0.547553	0.140625	0.019775
-0.745409	0.555634	0.015625	0.000244
-0.748172	0.559762	0.031250	0.000977
-0.737964	0.544591	0.093750	0.008789
-0.749886	0.562330	0.039062	0.001526
-0.737340	0.543670	0.109375	0.011963
-0.775056	0.600711	0.015625	0.000244
-0.737452	0.543835	0.031250	0.000977
-0.745885	0.556344	0.054688	0.002991
-0.749190	0.561286	0.078125	0.006104
-0.740951	0.549008	0.085938	0.007385
-0.737706	0.544210	0.039062	0.001526
-0.738104	0.544797	0.007812	0.000061
-0.747260	0.558398	0.023438	0.000549
-0.745160	0.555264	0.000000	0.000000
-0.738848	0.545896	0.000000	0.000000
-0.726180	0.527337	0.093750	0.008789
-0.732003	0.535829	0.070312	0.004944
-0.733041	0.537349	0.148438	0.022034
-0.747071	0.558115	0.000000	0.000000
-0.746197	0.556811	0.039062	0.001526
-0.751989	0.565488	0.101562	0.010315
-0.743104	0.552204	0.007812	0.000061
-0.727251	0.528894	0.046875	0.002197
-0.741047	0.549151	0.109375	0.011963
-0.748457	0.560187	0.101562	0.010315
-0.733977	0.538722	0.015625	0.000244
-0.747227	0.558349	0.062500	0.003906
-0.737483	0.543881	0.046875	0.002197
-0.719389	0.517520	0.031250	0.000977
-0.755827	0.571275	0.085938	0.007385
-0.736940	0.543081	0.023438	0.000549
-0.727680	0.529519	0.000000	0.000000
-0.748854	0.560782	0.046875	0.002197
-0.727295	0.528957	0.015625	0.000244
-0.755412	0.570648	0.000000	0.000000
-0.738458	0.545320	0.062500	0.003906
-0.739269	0.546519	0.078125	0.006104
-0.736682	0.542700	0.015625	0.000244
-0.765698	0.586294	0.023438	0.000549
-0.746950	0.557934	0.023438	0.000549
-0.756248	0.571912	0.023438	0.000549
-0.742095	0.550706	0.039062	0.001526
-0.747071	0.558115	0.062500	0.003906
-0.748032	0.559552	0.039062	0.001526
-0.751130	0.564197	0.031250	0.000977
-0.740950	0.549006	0.117188	0.013733
-0.759082	0.576205	0.046875	0.002197
-0.763457	0.582867	0.093750	0.008789
-0.735856	0.541485	0.062500	0.003906
-0.744579	0.554397	0.015625	0.000244
-0.733797	0.538458	0.031250	0.000977
-0.749297	0.561446	0.070312	0.004944
-0.745828	0.556259	0.070312	0.004944
-0.731310	0.534814	0.093750	0.008789
-0.739758	0.547242	0.070312	0.004944
-0.727498	0.529254	0.046875	0.002197
-0.736533	0.542481	0.070312	0.004944
-0.752111	0.565671	0.007812	0.000061
-0.745084	0.555151	0.023438	0.000549
-0.744875	0.554839	0.023438	0.000549
-0.727411	0.529127	0.054688	0.002991
-0.731586	0.535218	0.023438	0.000549
-0.740195	0.547889	0.078125	0.006104
-0.746592	0.557400	0.000000	0.000000
-0.726486	0.527782	0.023438	0.000549
-0.747619	0.558935	0.031250	0.000977
-0.738315	0.545109	0.007812	0.000061
-0.734380	0.539313	0.039062	0.001526
-0.744510	0.554295	0.109375	0.011963
-0.737828	0.544391	0.039062	0.001526
-0.732116	0.535994	0.062500	0.003906
-0.726778	0.528207	0.140625	0.019775
-0.740734	0.548686	0.007812	0.000061
-0.745965	0.556464	0.015625	0.000244
-0.738995	0.546113	0.023438	0.000549
-0.728511	0.530729	0.046875	0.002197
-0.737009	0.543182	0.062500	0.003906
-0.744258	0.553920	0.023438	0.000549
-0.760664	0.578610	0.070312	0.004944
-0.739674	0.547118	0.007812	0.000061
-0.743983	0.553510	0.085938	0.007385
-0.744384	0.554107	0.007812	0.000061
-0.752800	0.566709	0.070312	0.004944
-0.743355	0.552576	0.015625	0.000244
-0.751804	0.565210	0.000000	0.000000
-0.746708	0.557574	0.117188	0.013733
-0.734281	0.539169	0.031250	0.000977
-0.734080	0.538873	0.070312	0.004944
-0.745008	0.555037	0.031250	0.000977
-0.725955	0.527011	0.093750	0.008789
-0.741453	0.549753	0.132812	0.017639
-0.748681	0.560523	0.046875	0.002197
-0.762648	0.581632	0.015625	0.000244
-0.750393	0.563090	0.046875	0.002197
-0.742768	0.551704	0.015625	0.000244
-0.736428	0.542326	0.054688	0.002991
-0.762293	0.581091	0.078125	0.006104
-0.739616	0.547032	0.007812	0.000061
-0.764056	0.583781	0.031250	0.000977
-0.748538	0.560310	0.039062	0.001526
-0.736657	0.542664	0.015625	0.000244
-0.753178	0.567278	0.046875	0.002197
-0.737624	0.544089	0.070312	0.004944
-0.743241	0.552407	0.007812	0.000061
-0.742489	0.551290	0.015625	0.000244
-0.739600	0.547008	0.109375	0.011963
-0.728999	0.531440	0.039062	0.001526
